state,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
New York,2020-03-01,-7,1,0,,,,,,
New York,2020-03-02,-6,1,0,,,,,,
New York,2020-03-03,-5,2,0,,,,,,
New York,2020-03-04,-4,11,0,,,,,,
New York,2020-03-05,-3,22,0,,,,,,
New York,2020-03-06,-2,44,0,,,,,,
New York,2020-03-07,-1,89,0,,,,,,
New York,2020-03-08,0,106,0,,,,,,
New York,2020-03-09,1,142,0,,,,,,
New York,2020-03-10,2,173,0,,,,,,
New York,2020-03-11,3,217,0,,,,,,
New York,2020-03-12,4,326,0,,,,,,
New York,2020-03-13,5,421,0,,,,,,
New York,2020-03-14,6,610,2,,,,,,
New York,2020-03-15,7,732,6,,,,,,
New York,2020-03-16,8,950,10,,,,,,
New York,2020-03-17,9,1374,17,,,,,,
New York,2020-03-18,10,2382,27,,,,,,
New York,2020-03-19,11,4152,30,,,,,,
New York,2020-03-20,12,7102,57,,,,,,
New York,2020-03-21,13,10356,80,,,,,,
New York,2020-03-22,14,15168,122,,,,,,
New York,2020-03-23,15,20875,159,,,,,,
New York,2020-03-24,16,25666,226,,,,,,
New York,2020-03-25,17,33067,331,,,,,,
New York,2020-03-26,18,38988,432,,,,,,
New York,2020-03-27,19,44636,535,,,,,,
New York,2020-03-28,20,53364,782,,,,,,
New York,2020-03-29,21,59568,897,,,,,,
New York,2020-03-30,22,67216,1062,,,,,,
New York,2020-03-31,23,75832,1282,,,,,,
New York,2020-04-01,24,83890,1652,,,,,,
New York,2020-04-02,25,92770,1958,,,,,,
New York,2020-04-03,26,102945,2935,,,,,,
New York,2020-04-04,27,114996,3568,,,,,,
New York,2020-04-05,28,122911,4161,,,,,,
New York,2020-04-06,29,130703,5505,,,,,,
New York,2020-04-07,30,140081,5563,,,,,,
New York,2020-04-08,31,149401,6268,,,,,,
New York,2020-04-09,32,159937,7067,,,,,,
New York,2020-04-10,33,170512,7844,,,,,,
New York,2020-04-11,34,180458,8627,,,,,,
New York,2020-04-12,35,188694,9385,,,,,,
New York,2020-04-13,36,195031,10056,,,,,,
