state,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
New Mexico,2020-03-11,-14,4,0,,,,,,
New Mexico,2020-03-12,-13,6,0,,,,,,
New Mexico,2020-03-13,-12,10,0,,,,,,
New Mexico,2020-03-14,-11,13,0,,,,,,
New Mexico,2020-03-15,-10,17,0,,,,,,
New Mexico,2020-03-16,-9,21,0,,,,,,
New Mexico,2020-03-17,-8,23,0,,,,,,
New Mexico,2020-03-18,-7,28,0,,,,,,
New Mexico,2020-03-19,-6,35,0,,,,,,
New Mexico,2020-03-20,-5,43,0,,,,,,
New Mexico,2020-03-21,-4,57,0,,,,,,
New Mexico,2020-03-22,-3,65,0,,,,,,
New Mexico,2020-03-23,-2,83,0,,,,,,
New Mexico,2020-03-24,-1,100,0,,,,,,
New Mexico,2020-03-25,0,113,1,,,,,,
New Mexico,2020-03-26,1,136,1,,,,,,
New Mexico,2020-03-27,2,191,1,,,,,,
New Mexico,2020-03-28,3,210,2,,,,,,
New Mexico,2020-03-29,4,237,2,,,,,,
New Mexico,2020-03-30,5,282,4,,,,,,
New Mexico,2020-03-31,6,315,5,,,,,,
New Mexico,2020-04-01,7,363,6,,,,,,
New Mexico,2020-04-02,8,403,7,,,,,,
New Mexico,2020-04-03,9,495,10,,,,,,
New Mexico,2020-04-04,10,546,11,,,,,,
New Mexico,2020-04-05,11,624,12,,,,,,
New Mexico,2020-04-06,12,686,12,,,,,,
New Mexico,2020-04-07,13,794,13,,,,,,
New Mexico,2020-04-08,14,865,16,,,,,,
New Mexico,2020-04-09,15,989,17,,,,,,
New Mexico,2020-04-10,16,1091,19,,,,,,
New Mexico,2020-04-11,17,1174,20,,,,,,
New Mexico,2020-04-12,18,1245,26,,,,,,
New Mexico,2020-04-13,19,1345,31,,,,,,
