state,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
Rhode Island,2020-03-01,-22,2,0,,,,,,
Rhode Island,2020-03-02,-21,2,0,,,,,,
Rhode Island,2020-03-03,-20,2,0,,,,,,
Rhode Island,2020-03-04,-19,2,0,,,,,,
Rhode Island,2020-03-05,-18,2,0,,,,,,
Rhode Island,2020-03-06,-17,3,0,,,,,,
Rhode Island,2020-03-07,-16,3,0,,,,,,
Rhode Island,2020-03-08,-15,3,0,,,,,,
Rhode Island,2020-03-09,-14,3,0,,,,,,
Rhode Island,2020-03-10,-13,5,0,,,,,,
Rhode Island,2020-03-11,-12,5,0,,,,,,
Rhode Island,2020-03-12,-11,5,0,,,,,,
Rhode Island,2020-03-13,-10,20,0,,,,,,
Rhode Island,2020-03-14,-9,20,0,,,,,,
Rhode Island,2020-03-15,-8,20,0,,,,,,
Rhode Island,2020-03-16,-7,21,0,,,,,,
Rhode Island,2020-03-17,-6,23,0,,,,,,
Rhode Island,2020-03-18,-5,33,0,,,,,,
Rhode Island,2020-03-19,-4,44,0,,,,,,
Rhode Island,2020-03-20,-3,44,0,,,,,,
Rhode Island,2020-03-21,-2,66,0,,,,,,
Rhode Island,2020-03-22,-1,83,0,,,,,,
Rhode Island,2020-03-23,0,106,0,,,,,,
Rhode Island,2020-03-24,1,124,0,,,,,,
Rhode Island,2020-03-25,2,172,0,,,,,,
Rhode Island,2020-03-26,3,177,0,,,,,,
Rhode Island,2020-03-27,4,203,0,,,,,,
Rhode Island,2020-03-28,5,239,2,,,,,,
Rhode Island,2020-03-29,6,331,3,,,,,,
Rhode Island,2020-03-30,7,415,4,,,,,,
Rhode Island,2020-03-31,8,595,8,,,,,,
Rhode Island,2020-04-01,9,708,11,,,,,,
Rhode Island,2020-04-02,10,670,12,,,,,,
Rhode Island,2020-04-03,11,724,14,,,,,,
Rhode Island,2020-04-04,12,806,17,,,,,,
Rhode Island,2020-04-05,13,988,25,,,,,,
Rhode Island,2020-04-06,14,1082,27,,,,,,
Rhode Island,2020-04-07,15,1229,30,,,,,,
Rhode Island,2020-04-08,16,1450,35,,,,,,
Rhode Island,2020-04-09,17,1727,43,,,,,,
Rhode Island,2020-04-10,18,2015,49,,,,,,
Rhode Island,2020-04-11,19,2349,56,,,,,,
Rhode Island,2020-04-12,20,2665,63,,,,,,
Rhode Island,2020-04-13,21,2976,73,,,,,,
