state,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
South Carolina,2020-03-06,-14,2,0,,,,,,
South Carolina,2020-03-07,-13,2,0,,,,,,
South Carolina,2020-03-08,-12,6,0,,,,,,
South Carolina,2020-03-09,-11,7,0,,,,,,
South Carolina,2020-03-10,-10,9,0,,,,,,
South Carolina,2020-03-11,-9,10,0,,,,,,
South Carolina,2020-03-12,-8,12,0,,,,,,
South Carolina,2020-03-13,-7,13,0,,,,,,
South Carolina,2020-03-14,-6,19,0,,,,,,
South Carolina,2020-03-15,-5,28,0,,,,,,
South Carolina,2020-03-16,-4,33,1,,,,,,
South Carolina,2020-03-17,-3,47,1,,,,,,
South Carolina,2020-03-18,-2,60,1,,,,,,
South Carolina,2020-03-19,-1,81,1,,,,,,
South Carolina,2020-03-20,0,126,3,,,,,,
South Carolina,2020-03-21,1,172,3,,,,,,
South Carolina,2020-03-22,2,194,3,,,,,,
South Carolina,2020-03-23,3,299,5,,,,,,
South Carolina,2020-03-24,4,342,8,,,,,,
South Carolina,2020-03-25,5,425,8,,,,,,
South Carolina,2020-03-26,6,456,9,,,,,,
South Carolina,2020-03-27,7,542,13,,,,,,
South Carolina,2020-03-28,8,661,15,,,,,,
South Carolina,2020-03-29,9,775,16,,,,,,
South Carolina,2020-03-30,10,925,18,,,,,,
South Carolina,2020-03-31,11,1083,22,,,,,,
South Carolina,2020-04-01,12,1293,26,,,,,,
South Carolina,2020-04-02,13,1554,31,,,,,,
South Carolina,2020-04-03,14,1700,34,,,,,,
South Carolina,2020-04-04,15,1917,40,,,,,,
South Carolina,2020-04-05,16,2049,44,,,,,,
South Carolina,2020-04-06,17,2232,48,,,,,,
South Carolina,2020-04-07,18,2417,51,,,,,,
South Carolina,2020-04-08,19,2552,63,,,,,,
South Carolina,2020-04-09,20,2792,67,,,,,,
South Carolina,2020-04-10,21,3065,72,,,,,,
South Carolina,2020-04-11,22,3207,80,,,,,,
South Carolina,2020-04-12,23,3319,82,,,,,,
South Carolina,2020-04-13,24,3439,87,,,,,,
