"State","Day","Total Detected","Active","Active Hospitalized","Cumulative Hospitalized","Total Detected Deaths","Active Ventilated"
"Alabama","2020-04-12",3343,1519,323,501,93,68
"Alabama","2020-04-13",3543,1561,336,531,101,71
"Alabama","2020-04-14",3741,1599,349,561,109,73
"Alabama","2020-04-15",3937,1631,360,591,118,75
"Alabama","2020-04-16",4131,1658,370,620,127,76
"Alabama","2020-04-17",4321,1680,379,648,135,78
"Alabama","2020-04-18",4509,1697,388,676,144,79
"Alabama","2020-04-19",4692,1708,395,704,153,80
"Alabama","2020-04-20",4871,1715,401,731,162,81
"Alabama","2020-04-21",5045,1717,407,757,171,81
"Alabama","2020-04-22",5214,1714,411,782,180,81
"Alabama","2020-04-23",5379,1707,414,807,189,81
"Alabama","2020-04-24",5538,1696,417,831,198,81
"Alabama","2020-04-25",5691,1681,418,854,207,81
"Alabama","2020-04-26",5839,1663,419,876,216,81
"Alabama","2020-04-27",5981,1641,419,897,225,80
"Alabama","2020-04-28",6118,1616,418,918,233,79
"Alabama","2020-04-29",6248,1588,416,937,242,78
"Alabama","2020-04-30",6374,1558,413,956,250,77
"Alabama","2020-05-01",6493,1526,410,974,258,76
"Alabama","2020-05-02",6607,1492,406,991,266,74
"Alabama","2020-05-03",6716,1456,402,1007,274,73
"Alabama","2020-05-04",6819,1419,397,1023,281,72
"Alabama","2020-05-05",6917,1380,391,1038,288,70
"Alabama","2020-05-06",7010,1341,385,1051,296,68
"Alabama","2020-05-07",7098,1301,379,1065,303,67
"Alabama","2020-05-08",7181,1260,372,1077,309,65
"Alabama","2020-05-09",7260,1219,365,1089,316,63
"Alabama","2020-05-10",7334,1178,357,1100,322,61
"Alabama","2020-05-11",7403,1136,349,1111,328,59
"Alabama","2020-05-12",7469,1095,341,1120,334,57
"Alabama","2020-05-13",7531,1055,333,1130,340,55
"Alabama","2020-05-14",7589,1014,325,1138,345,54
"Alabama","2020-05-15",7643,974,317,1146,350,52
"Alabama","2020-05-16",7694,935,308,1154,355,50
"Alabama","2020-05-17",7742,896,300,1161,360,48
"Alabama","2020-05-18",7787,859,291,1168,365,46
"Alabama","2020-05-19",7828,822,283,1174,369,44
"Alabama","2020-05-20",7867,786,274,1180,373,43
"Alabama","2020-05-21",7903,750,266,1186,377,41
"Alabama","2020-05-22",7937,716,257,1191,381,39
"Alabama","2020-05-23",7969,683,249,1195,385,37
"Alabama","2020-05-24",7998,651,241,1200,389,36
"Alabama","2020-05-25",8025,620,233,1204,392,34
"Alabama","2020-05-26",8051,590,225,1208,395,33
"Alabama","2020-05-27",8074,561,217,1211,398,31
"Alabama","2020-05-28",8096,534,209,1214,401,30
"Alabama","2020-05-29",8116,507,202,1217,404,28
"Alabama","2020-05-30",8135,481,194,1220,406,27
"Alabama","2020-05-31",8152,457,187,1223,409,26
"Alabama","2020-06-01",8168,433,180,1225,411,24
"Alabama","2020-06-02",8183,410,173,1227,413,23
"Alabama","2020-06-03",8197,389,167,1229,415,22
"Alabama","2020-06-04",8209,368,160,1231,417,21
"Alabama","2020-06-05",8221,348,154,1233,419,20
"Alabama","2020-06-06",8232,330,148,1235,421,19
"Alabama","2020-06-07",8241,312,142,1236,423,18
"Alabama","2020-06-08",8251,295,136,1238,424,17
"Alabama","2020-06-09",8259,278,130,1239,426,16
"Alabama","2020-06-10",8267,263,125,1240,427,15
"Alabama","2020-06-11",8274,248,120,1241,429,14
"Alabama","2020-06-12",8280,235,115,1242,430,13
"Alabama","2020-06-13",8286,221,110,1243,431,13
"Alabama","2020-06-14",8292,209,105,1244,432,12
"Alaska","2020-04-12",267,107,24,38,6,5
"Alaska","2020-04-13",278,107,25,40,7,5
"Alaska","2020-04-14",288,107,25,42,7,5
"Alaska","2020-04-15",298,106,25,43,8,5
"Alaska","2020-04-16",308,106,25,45,8,5
"Alaska","2020-04-17",318,104,26,46,8,5
"Alaska","2020-04-18",326,103,26,47,9,5
"Alaska","2020-04-19",335,102,26,49,9,5
"Alaska","2020-04-20",343,100,26,50,10,5
"Alaska","2020-04-21",351,98,25,51,10,5
"Alaska","2020-04-22",358,96,25,52,10,5
"Alaska","2020-04-23",365,93,25,53,11,5
"Alaska","2020-04-24",372,91,25,54,11,5
"Alaska","2020-04-25",378,88,25,55,11,4
"Alaska","2020-04-26",384,86,24,56,12,4
"Alaska","2020-04-27",389,83,24,57,12,4
"Alaska","2020-04-28",394,80,23,58,12,4
"Alaska","2020-04-29",399,77,23,58,13,4
"Alaska","2020-04-30",404,75,22,59,13,4
"Alaska","2020-05-01",408,72,22,60,13,4
"Alaska","2020-05-02",412,69,21,60,13,4
"Alaska","2020-05-03",415,66,21,61,14,4
"Alaska","2020-05-04",419,63,20,61,14,3
"Alaska","2020-05-05",422,61,20,62,14,3
"Alaska","2020-05-06",425,58,19,62,14,3
"Alaska","2020-05-07",427,55,19,62,15,3
"Alaska","2020-05-08",430,53,18,63,15,3
"Alaska","2020-05-09",432,50,18,63,15,3
"Alaska","2020-05-10",434,48,17,64,15,3
"Alaska","2020-05-11",436,46,17,64,15,3
"Alaska","2020-05-12",438,43,16,64,15,2
"Alaska","2020-05-13",440,41,16,64,16,2
"Alaska","2020-05-14",441,39,15,65,16,2
"Alaska","2020-05-15",443,37,14,65,16,2
"Alaska","2020-05-16",444,35,14,65,16,2
"Alaska","2020-05-17",445,33,13,65,16,2
"Alaska","2020-05-18",446,31,13,65,16,2
"Alaska","2020-05-19",447,30,12,65,16,2
"Alaska","2020-05-20",448,28,12,66,17,2
"Alaska","2020-05-21",449,27,12,66,17,2
"Alaska","2020-05-22",450,25,11,66,17,1
"Alaska","2020-05-23",451,24,11,66,17,1
"Alaska","2020-05-24",451,22,10,66,17,1
"Alaska","2020-05-25",452,21,10,66,17,1
"Alaska","2020-05-26",452,20,9,66,17,1
"Alaska","2020-05-27",453,19,9,66,17,1
"Alaska","2020-05-28",453,18,9,66,17,1
"Alaska","2020-05-29",454,17,8,66,17,1
"Alaska","2020-05-30",454,16,8,66,17,1
"Alaska","2020-05-31",454,15,8,67,17,1
"Alaska","2020-06-01",455,14,7,67,17,1
"Alaska","2020-06-02",455,13,7,67,17,1
"Alaska","2020-06-03",455,12,7,67,18,1
"Alaska","2020-06-04",455,12,6,67,18,1
"Alaska","2020-06-05",456,11,6,67,18,1
"Alaska","2020-06-06",456,10,6,67,18,1
"Alaska","2020-06-07",456,10,6,67,18,1
"Alaska","2020-06-08",456,9,5,67,18,1
"Alaska","2020-06-09",456,9,5,67,18,1
"Alaska","2020-06-10",456,8,5,67,18,0
"Alaska","2020-06-11",456,8,5,67,18,0
"Alaska","2020-06-12",457,7,4,67,18,0
"Alaska","2020-06-13",457,7,4,67,18,0
"Alaska","2020-06-14",457,6,4,67,18,0
"Arizona","2020-04-12",3537,1540,333,529,116,70
"Arizona","2020-04-13",3709,1555,341,555,126,71
"Arizona","2020-04-14",3876,1563,348,580,135,72
"Arizona","2020-04-15",4036,1565,354,604,144,72
"Arizona","2020-04-16",4190,1561,358,627,154,73
"Arizona","2020-04-17",4337,1550,362,649,163,73
"Arizona","2020-04-18",4477,1535,364,670,172,73
"Arizona","2020-04-19",4610,1515,365,690,182,72
"Arizona","2020-04-20",4736,1491,365,709,191,71
"Arizona","2020-04-21",4856,1463,364,727,199,71
"Arizona","2020-04-22",4969,1431,361,744,208,69
"Arizona","2020-04-23",5075,1397,359,760,217,68
"Arizona","2020-04-24",5175,1360,355,775,225,67
"Arizona","2020-04-25",5268,1321,351,789,233,65
"Arizona","2020-04-26",5356,1281,346,802,241,64
"Arizona","2020-04-27",5438,1239,340,814,248,62
"Arizona","2020-04-28",5515,1196,334,826,256,60
"Arizona","2020-04-29",5586,1153,327,836,263,59
"Arizona","2020-04-30",5652,1109,320,846,269,57
"Arizona","2020-05-01",5714,1065,313,855,276,55
"Arizona","2020-05-02",5771,1021,305,864,282,53
"Arizona","2020-05-03",5824,978,298,872,288,51
"Arizona","2020-05-04",5873,935,290,879,294,49
"Arizona","2020-05-05",5918,893,282,886,299,47
"Arizona","2020-05-06",5960,852,273,892,305,45
"Arizona","2020-05-07",5999,811,265,898,310,43
"Arizona","2020-05-08",6035,772,257,904,314,42
"Arizona","2020-05-09",6067,734,249,908,319,40
"Arizona","2020-05-10",6097,697,240,913,323,38
"Arizona","2020-05-11",6125,661,232,917,327,36
"Arizona","2020-05-12",6150,626,224,921,331,34
"Arizona","2020-05-13",6174,593,216,924,335,33
"Arizona","2020-05-14",6195,561,208,928,338,31
"Arizona","2020-05-15",6214,530,200,930,341,30
"Arizona","2020-05-16",6232,501,193,933,345,28
"Arizona","2020-05-17",6248,473,185,936,347,27
"Arizona","2020-05-18",6263,446,178,938,350,25
"Arizona","2020-05-19",6277,421,171,940,353,24
"Arizona","2020-05-20",6289,397,164,942,355,23
"Arizona","2020-05-21",6301,374,157,943,358,21
"Arizona","2020-05-22",6311,352,151,945,360,20
"Arizona","2020-05-23",6320,331,145,946,362,19
"Arizona","2020-05-24",6329,311,139,948,364,18
"Arizona","2020-05-25",6336,293,133,949,366,17
"Arizona","2020-05-26",6343,275,127,950,367,16
"Arizona","2020-05-27",6350,259,121,951,369,15
"Arizona","2020-05-28",6355,243,116,952,370,14
"Arizona","2020-05-29",6361,228,111,952,372,13
"Arizona","2020-05-30",6365,214,106,953,373,13
"Arizona","2020-05-31",6370,201,101,954,374,12
"Arizona","2020-06-01",6374,189,97,954,375,11
"Arizona","2020-06-02",6377,177,92,955,377,10
"Arizona","2020-06-03",6380,166,88,955,378,10
"Arizona","2020-06-04",6383,156,84,956,379,9
"Arizona","2020-06-05",6386,146,80,956,379,9
"Arizona","2020-06-06",6388,137,76,957,380,8
"Arizona","2020-06-07",6390,129,73,957,381,8
"Arizona","2020-06-08",6392,121,69,957,382,7
"Arizona","2020-06-09",6394,113,66,957,383,7
"Arizona","2020-06-10",6395,106,63,958,383,6
"Arizona","2020-06-11",6397,100,60,958,384,6
"Arizona","2020-06-12",6398,93,57,958,384,5
"Arizona","2020-06-13",6399,88,54,958,385,5
"Arizona","2020-06-14",6400,82,52,958,385,5
"Arkansas","2020-04-12",1191,408,100,179,26,20
"Arkansas","2020-04-13",1222,398,100,183,27,20
"Arkansas","2020-04-14",1251,388,99,188,28,19
"Arkansas","2020-04-15",1277,377,98,192,29,19
"Arkansas","2020-04-16",1302,366,97,195,31,18
"Arkansas","2020-04-17",1326,354,96,199,32,18
"Arkansas","2020-04-18",1347,342,94,202,33,17
"Arkansas","2020-04-19",1367,329,93,205,34,17
"Arkansas","2020-04-20",1386,316,91,208,35,16
"Arkansas","2020-04-21",1403,304,89,210,36,16
"Arkansas","2020-04-22",1419,291,87,213,37,15
"Arkansas","2020-04-23",1433,278,85,215,38,15
"Arkansas","2020-04-24",1447,266,83,217,39,14
"Arkansas","2020-04-25",1459,254,81,219,40,14
"Arkansas","2020-04-26",1471,242,79,221,41,13
"Arkansas","2020-04-27",1481,230,76,222,42,13
"Arkansas","2020-04-28",1491,219,74,224,42,12
"Arkansas","2020-04-29",1499,208,72,225,43,12
"Arkansas","2020-04-30",1507,197,69,226,44,11
"Arkansas","2020-05-01",1515,187,67,227,44,11
"Arkansas","2020-05-02",1521,177,65,228,45,10
"Arkansas","2020-05-03",1528,167,63,229,46,10
"Arkansas","2020-05-04",1533,158,60,230,46,9
"Arkansas","2020-05-05",1538,149,58,231,47,9
"Arkansas","2020-05-06",1543,141,56,231,47,8
"Arkansas","2020-05-07",1547,133,54,232,47,8
"Arkansas","2020-05-08",1551,125,52,233,48,7
"Arkansas","2020-05-09",1554,118,50,233,48,7
"Arkansas","2020-05-10",1558,111,48,234,49,7
"Arkansas","2020-05-11",1561,105,46,234,49,6
"Arkansas","2020-05-12",1563,99,44,234,49,6
"Arkansas","2020-05-13",1565,93,42,235,50,6
"Arkansas","2020-05-14",1568,87,41,235,50,5
"Arkansas","2020-05-15",1570,82,39,235,50,5
"Arkansas","2020-05-16",1571,77,37,236,51,5
"Arkansas","2020-05-17",1573,73,36,236,51,4
"Arkansas","2020-05-18",1574,68,34,236,51,4
"Arkansas","2020-05-19",1576,64,33,236,51,4
"Arkansas","2020-05-20",1577,60,31,237,51,4
"Arkansas","2020-05-21",1578,57,30,237,52,3
"Arkansas","2020-05-22",1579,53,29,237,52,3
"Arkansas","2020-05-23",1580,50,27,237,52,3
"Arkansas","2020-05-24",1580,47,26,237,52,3
"Arkansas","2020-05-25",1581,44,25,237,52,3
"Arkansas","2020-05-26",1582,41,24,237,52,3
"Arkansas","2020-05-27",1582,39,23,237,53,2
"Arkansas","2020-05-28",1583,36,22,237,53,2
"Arkansas","2020-05-29",1583,34,21,237,53,2
"Arkansas","2020-05-30",1584,32,20,238,53,2
"Arkansas","2020-05-31",1584,30,19,238,53,2
"Arkansas","2020-06-01",1584,28,18,238,53,2
"Arkansas","2020-06-02",1585,27,17,238,53,2
"Arkansas","2020-06-03",1585,25,17,238,53,2
"Arkansas","2020-06-04",1585,24,16,238,53,1
"Arkansas","2020-06-05",1585,22,15,238,53,1
"Arkansas","2020-06-06",1586,21,14,238,54,1
"Arkansas","2020-06-07",1586,20,14,238,54,1
"Arkansas","2020-06-08",1586,18,13,238,54,1
"Arkansas","2020-06-09",1586,17,12,238,54,1
"Arkansas","2020-06-10",1586,16,12,238,54,1
"Arkansas","2020-06-11",1586,15,11,238,54,1
"Arkansas","2020-06-12",1586,14,11,238,54,1
"Arkansas","2020-06-13",1587,14,10,238,54,1
"Arkansas","2020-06-14",1587,13,10,238,54,1
"California","2020-04-12",23836,10320,2235,3544,687,469
"California","2020-04-13",25057,10485,2302,3727,741,479
"California","2020-04-14",26244,10603,2360,3905,796,488
"California","2020-04-15",27395,10677,2410,4078,851,494
