State,Measure,Date
alabama,Mass gathering restrictions,19-Mar-20
alabama,Initial business closure,19-Mar-20
alabama,Educational facilities closed,19-Mar-20
alabama,Non-essential services closed,28-Mar-20
alabama,Stay at home order,4-Apr-20
alabama,Travel severely limited,Not implemented
alaska,Mass gathering restrictions,24-Mar-20
alaska,Initial business closure,17-Mar-20
alaska,Educational facilities closed,16-Mar-20
alaska,Non-essential services closed,28-Mar-20
alaska,Stay at home order,28-Mar-20
alaska,Travel severely limited,Not implemented
arizona,Mass gathering restrictions,30-Mar-20
arizona,Initial business closure,Not implemented
arizona,Educational facilities closed,16-Mar-20
arizona,Non-essential services closed,Not implemented
arizona,Stay at home order,30-Mar-20
arizona,Travel severely limited,Not implemented
arkansas,Mass gathering restrictions,27-Mar-20
arkansas,Initial business closure,19-Mar-20
arkansas,Educational facilities closed,17-Mar-20
arkansas,Non-essential services closed,Not implemented
arkansas,Stay at home order,Not implemented
arkansas,Travel severely limited,Not implemented
california,Mass gathering restrictions,11-Mar-20
california,Initial business closure,19-Mar-20
california,Educational facilities closed,19-Mar-20
california,Non-essential services closed,19-Mar-20
california,Stay at home order,19-Mar-20
california,Travel severely limited,Not implemented
colorado,Mass gathering restrictions,19-Mar-20
colorado,Initial business closure,17-Mar-20
colorado,Educational facilities closed,23-Mar-20
colorado,Non-essential services closed,26-Mar-20
colorado,Stay at home order,26-Mar-20
colorado,Travel severely limited,Not implemented
connecticut,Mass gathering restrictions,12-Mar-20
connecticut,Initial business closure,16-Mar-20
connecticut,Educational facilities closed,17-Mar-20
connecticut,Non-essential services closed,23-Mar-20
connecticut,Stay at home order,Not implemented
connecticut,Travel severely limited,Not implemented
delaware,Mass gathering restrictions,16-Mar-20
delaware,Initial business closure,16-Mar-20
delaware,Educational facilities closed,16-Mar-20
delaware,Non-essential services closed,24-Mar-20
delaware,Stay at home order,24-Mar-20
delaware,Travel severely limited,Not implemented
district-of-columbia,Mass gathering restrictions,13-Mar-20
district-of-columbia,Initial business closure,16-Mar-20
district-of-columbia,Educational facilities closed,16-Mar-20
district-of-columbia,Non-essential services closed,25-Mar-20
district-of-columbia,Stay at home order,30-Mar-20
district-of-columbia,Travel severely limited,Not implemented
florida,Mass gathering restrictions,3-Apr-20
