location_name,peak_bed_day_mean,peak_bed_day_lower,peak_bed_day_upper,peak_icu_bed_day_mean,peak_icu_bed_day_lower,peak_icu_bed_day_upper,peak_vent_day_mean,peak_vent_day_lower,peak_vent_day_upper,all_bed_capacity,icu_bed_capacity,all_bed_usage,icu_bed_usage,available_all_nbr,available_icu_nbr,travel_limit_start_date,travel_limit_end_date,stay_home_start_date,stay_home_end_date,educational_fac_start_date,educational_fac_end_date,any_gathering_restrict_start_date,any_gathering_restrict_end_date,any_business_start_date,any_business_end_date,all_non-ess_business_start_date,all_non-ess_business_end_date
Idaho,12/27/2020,4/11/2020,12/27/2020,12/27/2020,4/11/2020,12/27/2020,12/27/2020,4/11/2020,12/27/2020,3951,338,2133,187,1818,151,,,3/25/2020,5/1/2020,3/23/2020,,3/25/2020,5/1/2020,3/25/2020,,3/25/2020,5/1/2020
Illinois,5/8/2020,5/3/2020,12/27/2020,5/10/2020,5/5/2020,12/27/2020,5/10/2020,5/5/2020,12/27/2020,36072,2910,21520,1779,14552,1131,,,3/21/2020,,3/17/2020,,3/13/2020,,3/16/2020,,3/21/2020,5/1/2020
Indiana,5/1/2020,4/17/2020,5/7/2020,4/28/2020,4/20/2020,5/6/2020,4/28/2020,4/19/2020,5/5/2020,20450,1763,11965,1057,8485,706,,,3/25/2020,5/18/2020,3/19/2020,,3/12/2020,,3/16/2020,,3/24/2020,5/18/2020
Iowa,10/21/2020,5/14/2020,12/27/2020,10/23/2020,5/18/2020,12/27/2020,10/24/2020,5/18/2020,12/27/2020,9866,584,5569,337,4297,247,,,,,4/4/2020,,3/17/2020,,3/17/2020,,3/17/2020,5/8/2020
Ireland,4/19/2020,4/17/2020,4/21/2020,4/20/2020,4/19/2020,4/21/2020,4/20/2020,4/19/2020,4/20/2020,15012,303,13614,251,1398,52,,,3/27/2020,5/18/2020,3/12/2020,,3/12/2020,,3/15/2020,,3/24/2020,5/18/2020
Israel,4/14/2020,4/14/2020,4/15/2020,4/15/2020,4/14/2020,4/15/2020,4/14/2020,4/14/2020,4/15/2020,39948,464,37175,379,2773,85,,,3/25/2020,4/19/2020,3/12/2020,,3/4/2020,,3/15/2020,,3/25/2020,5/3/2020
Italy,3/28/2020,3/27/2020,3/30/2020,3/30/2020,3/29/2020,3/30/2020,3/29/2020,3/28/2020,3/30/2020,202139,6812,157221,4990,44918,1822,,,,,,,,,,,,
Jalisco,8/27/2020,6/12/2020,8/27/2020,8/27/2020,6/14/2020,8/27/2020,8/27/2020,6/13/2020,8/27/2020,8954,375,6235,313,2719,62,,,4/19/2020,,3/16/2020,,3/24/2020,,3/23/2020,,3/30/2020,
Japan,4/28/2020,4/27/2020,5/2/2020,4/30/2020,4/28/2020,5/1/2020,4/30/2020,4/28/2020,5/1/2020,1509219,7790,1165122,5736,344097,2054,,,,,3/2/2020,,,,,,,
Kansas,11/14/2020,4/11/2020,12/27/2020,11/12/2020,4/12/2020,12/27/2020,11/12/2020,4/12/2020,12/27/2020,11329,678,6518,399,4811,279,,,3/30/2020,5/4/2020,3/17/2020,,3/17/2020,,3/30/2020,,,
Kentucky,12/27/2020,4/13/2020,12/27/2020,12/27/2020,4/15/2020,12/27/2020,12/27/2020,4/15/2020,12/27/2020,16156,1215,9946,766,6210,449,,,,,3/20/2020,,3/19/2020,,3/16/2020,,3/26/2020,5/11/2020
La Rioja,4/6/2020,4/4/2020,4/9/2020,4/6/2020,4/5/2020,4/9/2020,4/6/2020,4/5/2020,4/8/2020,,,,,,,,,3/15/2020,5/11/2020,3/14/2020,,3/15/2020,,3/15/2020,,3/15/2020,4/13/2020
Latvia,4/29/2020,4/11/2020,8/27/2020,4/30/2020,4/22/2020,8/27/2020,4/30/2020,4/22/2020,8/27/2020,11096,206,7879,127,3217,79,,,,,3/12/2020,,3/13/2020,,,,,
Lazio,3/30/2020,3/27/2020,4/1/2020,3/30/2020,3/29/2020,3/31/2020,3/29/2020,3/29/2020,3/31/2020,18277,689,14224,508,4053,181,3/22/2020,5/4/2020,3/11/2020,6/3/2020,3/5/2020,,3/11/2020,,3/11/2020,,3/11/2020,4/14/2020
Liguria,3/30/2020,3/28/2020,4/2/2020,3/31/2020,3/30/2020,4/2/2020,3/31/2020,3/30/2020,4/1/2020,4985,182,3879,134,1106,48,3/22/2020,5/4/2020,3/11/2020,6/3/2020,3/5/2020,,3/11/2020,,3/11/2020,,3/11/2020,4/14/2020
Lithuania,4/24/2020,4/5/2020,7/24/2020,4/16/2020,4/5/2020,7/22/2020,5/1/2020,4/4/2020,7/25/2020,18032,522,13111,333,4921,189,,,3/15/2020,4/29/2020,3/16/2020,,3/15/2020,,3/14/2020,,3/15/2020,4/15/2020
Lombardia,3/26/2020,3/25/2020,3/28/2020,3/27/2020,3/27/2020,3/28/2020,3/27/2020,3/26/2020,3/28/2020,31872,1208,24806,891,7066,317,3/8/2020,5/4/2020,3/8/2020,6/3/2020,3/1/2020,,2/22/2020,,2/22/2020,,3/8/2020,4/14/2020
Louisiana,4/12/2020,4/10/2020,4/15/2020,4/14/2020,4/12/2020,4/16/2020,4/13/2020,4/12/2020,4/15/2020,18060,1242,10855,765,7205,477,,,3/23/2020,5/15/2020,3/16/2020,,3/13/2020,5/15/2020,3/17/2020,,3/22/2020,5/1/2020
Lower Saxony,4/11/2020,4/10/2020,4/15/2020,4/14/2020,4/11/2020,4/15/2020,4/13/2020,4/11/2020,4/15/2020,,,,,,,,,3/23/2020,5/11/2020,3/16/2020,,3/23/2020,,3/27/2020,,3/27/2020,4/20/2020
Luxembourg,4/9/2020,3/31/2020,4/9/2020,4/9/2020,4/6/2020,4/9/2020,4/9/2020,4/5/2020,4/9/2020,2910,131,2056,90,854,41,,,,,3/16/2020,,3/13/2020,,3/18/2020,,3/18/2020,4/20/2020
Maine,10/18/2020,4/18/2020,12/27/2020,10/19/2020,4/17/2020,12/27/2020,10/19/2020,4/18/2020,12/27/2020,3814,244,2752,180,1062,64,,,4/2/2020,5/31/2020,3/16/2020,,3/18/2020,,3/18/2020,,3/25/2020,5/1/2020
Malaysia,3/29/2020,3/28/2020,3/31/2020,3/31/2020,3/29/2020,4/2/2020,3/31/2020,3/29/2020,4/1/2020,61170,1047,41301,704,19869,343,3/18/2020,,3/18/2020,,3/18/2020,,3/13/2020,,3/18/2020,,3/18/2020,5/4/2020
Maranhao,8/25/2020,8/11/2020,8/27/2020,8/27/2020,8/12/2020,8/27/2020,8/26/2020,8/12/2020,8/27/2020,11776,464,9193,387,2583,77,,,,,3/17/2020,,3/21/2020,,3/21/2020,,3/21/2020,
Marche,3/28/2020,3/26/2020,3/29/2020,3/28/2020,3/28/2020,3/29/2020,3/28/2020,3/27/2020,3/29/2020,5206,176,4049,128,1157,48,3/22/2020,5/4/2020,3/11/2020,6/3/2020,3/5/2020,,3/7/2020,,3/7/2020,,3/11/2020,4/14/2020
Maryland,5/1/2020,4/23/2020,12/27/2020,5/1/2020,4/24/2020,12/27/2020,5/1/2020,4/24/2020,12/27/2020,14350,1030,10389,764,3961,266,,,3/30/2020,6/3/2020,3/16/2020,,3/16/2020,,3/16/2020,,3/23/2020,5/15/2020
Massachusetts,4/23/2020,4/21/2020,4/27/2020,4/23/2020,4/23/2020,4/23/2020,4/23/2020,4/23/2020,4/23/2020,20197,1250,15348,973,4849,277,,,,,3/17/2020,,3/13/2020,,3/17/2020,,3/24/2020,5/18/2020
Mato Grosso,8/15/2020,7/16/2020,8/27/2020,8/16/2020,7/18/2020,8/27/2020,8/15/2020,7/17/2020,8/27/2020,6227,457,4886,394,1341,63,,,3/31/2020,,3/23/2020,,3/16/2020,,3/26/2020,,3/26/2020,4/22/2020
Mato Grosso do Sul,8/27/2020,12/21/2019,8/27/2020,8/27/2020,12/21/2019,8/27/2020,8/27/2020,12/21/2019,8/27/2020,4972,317,3901,273,1071,44,,,,,3/23/2020,,3/16/2020,,,,,
Mecklenburg-Vorpommern,4/9/2020,4/3/2020,4/9/2020,4/9/2020,4/9/2020,4/9/2020,4/9/2020,4/8/2020,4/9/2020,,,,,,,,,3/23/2020,5/7/2020,3/16/2020,,3/23/2020,,3/18/2020,,3/18/2020,4/20/2020
Mexico City,5/25/2020,5/23/2020,8/27/2020,5/27/2020,5/25/2020,8/27/2020,5/27/2020,5/25/2020,8/27/2020,16855,976,10524,784,6331,192,,,,,3/19/2020,,3/16/2020,,3/30/2020,,4/1/2020,
Mexico_country,8/27/2020,8/27/2020,8/27/2020,8/27/2020,8/27/2020,8/27/2020,8/27/2020,8/27/2020,8/27/2020,119328,6073,76518,4835,42810,1238,,,,,3/23/2020,,3/24/2020,,4/4/2020,,4/4/2020,
Mexico_two,8/27/2020,5/24/2020,8/27/2020,8/27/2020,5/27/2020,8/27/2020,8/27/2020,5/26/2020,8/27/2020,12010,597,7013,455,4997,142,,,4/2/2020,,3/22/2020,,3/24/2020,,3/23/2020,,4/2/2020,
Michigan,4/16/2020,4/13/2020,12/27/2020,4/17/2020,4/15/2020,12/27/2020,4/16/2020,4/15/2020,12/27/2020,28300,2164,18145,1421,10155,743,,,3/24/2020,6/1/2020,3/16/2020,,3/13/2020,,3/16/2020,,3/23/2020,5/7/2020
Michoacan de Ocampo,8/27/2020,8/25/2020,8/27/2020,8/27/2020,8/27/2020,8/27/2020,8/27/2020,8/26/2020,8/27/2020,3953,111,2251,82,1702,29,,,,,3/23/2020,,3/15/2020,,3/23/2020,,3/30/2020,
Minas Gerais,8/27/2020,1/5/2020,8/27/2020,8/27/2020,1/8/2020,8/27/2020,8/27/2020,1/8/2020,8/27/2020,37234,2880,29223,2485,8011,395,,,,,3/20/2020,,3/20/2020,,3/20/2020,,,
Minnesota,12/27/2020,5/2/2020,12/27/2020,12/27/2020,5/3/2020,12/27/2020,12/27/2020,5/3/2020,12/27/2020,15196,1140,10212,785,4984,355,,,3/28/2020,5/18/2020,3/18/2020,,3/28/2020,,3/17/2020,,,
Mississippi,5/20/2020,5/10/2020,7/3/2020,5/19/2020,5/13/2020,7/3/2020,5/19/2020,5/13/2020,7/4/2020,14005,862,8272,521,5733,341,,,4/3/2020,4/27/2020,3/19/2020,,3/24/2020,,3/24/2020,,4/3/2020,4/27/2020
Missouri,5/11/2020,5/4/2020,12/26/2020,5/11/2020,5/7/2020,12/27/2020,5/11/2020,5/6/2020,12/27/2020,21575,1586,13642,1027,7933,559,,,4/6/2020,5/15/2020,3/23/2020,,3/23/2020,,3/23/2020,,,
Molise,3/25/2020,3/20/2020,3/25/2020,3/25/2020,3/25/2020,3/25/2020,3/25/2020,3/24/2020,3/25/2020,1040,32,808,23,232,9,3/22/2020,5/4/2020,3/11/2020,6/3/2020,3/5/2020,,3/11/2020,,3/11/2020,,3/11/2020,4/14/2020
Montana,4/4/2020,4/2/2020,4/4/2020,4/4/2020,4/4/2020,4/4/2020,4/4/2020,4/4/2020,4/4/2020,4145,219,2475,134,1670,85,,,3/26/2020,4/26/2020,3/15/2020,,3/24/2020,6/1/2020,3/20/2020,6/1/2020,3/26/2020,5/1/2020
Morelos,8/27/2020,5/12/2020,8/27/2020,8/27/2020,5/14/2020,8/27/2020,8/27/2020,5/13/2020,8/27/2020,1444,86,922,68,522,18,,,,,3/17/2020,,3/20/2020,,3/23/2020,,3/30/2020,
Murcia,4/1/2020,3/30/2020,4/2/2020,4/1/2020,4/1/2020,4/1/2020,4/1/2020,4/1/2020,4/1/2020,,,,,,,,,3/15/2020,5/11/2020,3/14/2020,,3/15/2020,,3/15/2020,,3/15/2020,4/13/2020
Navarre,3/31/2020,3/29/2020,4/11/2020,4/3/2020,4/1/2020,4/10/2020,4/2/2020,3/31/2020,4/9/2020,,,,,,,,,3/15/2020,5/11/2020,3/14/2020,,3/15/2020,,3/15/2020,,3/15/2020,4/13/2020
Nayarit,8/16/2020,6/15/2020,8/27/2020,8/15/2020,6/17/2020,8/27/2020,8/15/2020,6/16/2020,8/27/2020,823,27,524,21,299,6,,,,,3/22/2020,,3/15/2020,,3/23/2020,,3/30/2020,
Nebraska,9/18/2020,5/26/2020,12/27/2020,9/17/2020,5/27/2020,12/27/2020,9/17/2020,5/26/2020,12/27/2020,7413,569,4283,336,3130,233,,,,,4/2/2020,,3/16/2020,,3/19/2020,,,
Netherlands,4/7/2020,4/5/2020,4/10/2020,4/9/2020,4/7/2020,4/10/2020,4/8/2020,4/6/2020,4/10/2020,58826,1616,37255,1013,21571,603,,,,,3/15/2020,6/15/2020,3/10/2020,,3/12/2020,,,
Nevada,12/27/2020,4/9/2020,12/27/2020,12/27/2020,4/12/2020,12/27/2020,12/27/2020,4/12/2020,12/27/2020,8006,696,5758,513,2248,183,,,3/31/2020,5/9/2020,3/16/2020,,3/24/2020,,3/18/2020,,3/21/2020,5/9/2020
New Hampshire,12/27/2020,5/11/2020,12/27/2020,12/27/2020,5/17/2020,12/27/2020,12/27/2020,5/16/2020,12/27/2020,3052,263,2033,179,1019,84,,,3/27/2020,,3/16/2020,,3/16/2020,,3/16/2020,,3/28/2020,5/11/2020
New Jersey,4/19/2020,4/15/2020,4/23/2020,4/20/2020,4/18/2020,4/22/2020,4/19/2020,4/17/2020,4/21/2020,25996,1643,18181,1177,7815,466,,,3/21/2020,6/9/2020,3/18/2020,,3/16/2020,,3/16/2020,,3/21/2020,5/2/2020
New Mexico,12/27/2020,5/5/2020,12/27/2020,12/27/2020,5/8/2020,12/27/2020,12/27/2020,5/8/2020,12/27/2020,4756,331,3003,214,1753,117,,,,,3/13/2020,,3/12/2020,,3/16/2020,,3/24/2020,5/15/2020
New York,4/8/2020,4/8/2020,4/9/2020,4/8/2020,4/8/2020,4/8/2020,4/8/2020,4/8/2020,4/8/2020,62232,3787,49221,3069,13011,718,,,3/22/2020,5/28/2020,3/18/2020,,3/12/2020,,3/16/2020,,3/22/2020,
North Carolina,10/29/2020,9/18/2020,12/27/2020,10/30/2020,9/18/2020,12/27/2020,10/29/2020,9/18/2020,12/27/2020,24713,2096,17587,1528,7126,568,,,3/30/2020,5/8/2020,3/14/2020,,3/14/2020,,3/17/2020,,3/30/2020,5/8/2020
North Dakota,8/16/2020,4/24/2020,9/30/2020,8/16/2020,4/27/2020,9/29/2020,8/16/2020,4/28/2020,10/6/2020,3779,219,2234,132,1545,87,,,,,3/16/2020,,,,3/20/2020,,,
North Rhine-Westphalia,4/16/2020,4/14/2020,4/17/2020,4/17/2020,4/16/2020,4/18/2020,4/16/2020,4/15/2020,4/17/2020,,,,,,,,,3/23/2020,5/11/2020,3/16/2020,,3/23/2020,,2/26/2020,,3/23/2020,4/20/2020
Norway,4/10/2020,4/5/2020,4/12/2020,4/10/2020,4/9/2020,4/12/2020,4/10/2020,4/9/2020,4/11/2020,19776,502,16367,395,3409,107,,,,,3/12/2020,5/15/2020,3/12/2020,,3/12/2020,,,
Nuevo Leon,8/27/2020,8/20/2020,8/27/2020,8/27/2020,8/21/2020,8/27/2020,8/27/2020,6/25/2020,8/27/2020,5972,481,4229,406,1743,75,,,,,3/22/2020,,3/23/2020,,3/24/2020,,3/30/2020,
Oaxaca,8/27/2020,8/25/2020,8/27/2020,8/27/2020,8/27/2020,8/27/2020,8/27/2020,8/27/2020,8/27/2020,2904,73,1571,52,1333,21,,,,,3/22/2020,,3/12/2020,,3/23/2020,,3/30/2020,
Ohio,12/27/2020,5/2/2020,12/27/2020,12/27/2020,5/5/2020,12/27/2020,12/27/2020,5/5/2020,12/27/2020,37351,3371,23060,2132,14291,1239,,,3/23/2020,5/20/2020,3/16/2020,,3/12/2020,,3/15/2020,,3/23/2020,5/4/2020
Oklahoma,4/19/2020,4/9/2020,12/27/2020,4/19/2020,4/14/2020,12/27/2020,4/19/2020,4/14/2020,12/27/2020,13153,1166,7695,699,5458,467,,,,,3/17/2020,,3/24/2020,5/24/2020,4/1/2020,6/1/2020,4/1/2020,4/24/2020
Ontario,5/2/2020,5/1/2020,5/4/2020,5/3/2020,5/3/2020,5/4/2020,5/3/2020,5/3/2020,5/3/2020,,,,,,,,,,,3/16/2020,,3/16/2020,,3/16/2020,,4/5/2020,5/4/2020
Oregon,12/27/2020,4/12/2020,12/27/2020,12/27/2020,4/16/2020,12/27/2020,12/27/2020,4/16/2020,12/27/2020,7900,655,5242,445,2658,210,,,3/23/2020,,3/16/2020,,3/12/2020,,3/17/2020,,,
Panama,6/13/2020,6/5/2020,6/18/2020,6/15/2020,6/8/2020,6/19/2020,6/15/2020,6/7/2020,6/18/2020,8663,323,4736,185,3927,138,3/13/2020,6/1/2020,3/25/2020,6/1/2020,3/16/2020,,3/25/2020,,3/25/2020,,3/25/2020,5/13/2020
Para,5/21/2020,5/19/2020,8/27/2020,5/22/2020,5/21/2020,8/27/2020,5/22/2020,5/21/2020,8/27/2020,12091,635,9470,541,2621,94,4/6/2020,,,,3/24/2020,,3/27/2020,,3/20/2020,,3/20/2020,
Paraiba,8/15/2020,8/2/2020,8/27/2020,8/16/2020,8/3/2020,8/27/2020,8/16/2020,8/3/2020,8/27/2020,7263,404,5685,343,1578,61,,,,,3/19/2020,,3/17/2020,,3/29/2020,,,
Parana,8/26/2020,8/12/2020,8/27/2020,8/27/2020,8/13/2020,8/27/2020,8/27/2020,8/12/2020,8/27/2020,24502,1913,19240,1655,5262,258,,,,,3/20/2020,,3/16/2020,,3/16/2020,,3/21/2020,
Pennsylvania,4/30/2020,4/25/2020,5/6/2020,5/1/2020,4/27/2020,5/4/2020,4/30/2020,4/27/2020,5/4/2020,42658,3250,28263,2206,14395,1044,,,4/1/2020,6/5/2020,3/17/2020,,4/1/2020,,3/18/2020,,3/23/2020,5/8/2020
Pernambuco,8/27/2020,5/23/2020,8/27/2020,8/27/2020,5/24/2020,8/27/2020,8/27/2020,5/24/2020,8/27/2020,18735,1334,14675,1138,4060,196,,,,,3/18/2020,,,,3/19/2020,,3/20/2020,
Peru,6/23/2020,5/7/2020,7/25/2020,6/25/2020,5/7/2020,7/27/2020,6/25/2020,5/7/2020,7/26/2020,42011,869,24746,781,17265,88,,,3/16/2020,,3/16/2020,,3/12/2020,,3/16/2020,,3/16/2020,5/1/2020
Philippines,4/16/2020,4/12/2020,6/11/2020,4/17/2020,4/15/2020,6/14/2020,4/17/2020,4/15/2020,6/13/2020,95860,2549,62867,1605,32993,944,,,,,3/16/2020,,,,,,,
Piaui,8/27/2020,6/1/2020,8/27/2020,8/27/2020,6/3/2020,8/27/2020,8/27/2020,6/1/2020,8/27/2020,6359,239,4973,201,1386,38,,,,,3/16/2020,,3/16/2020,,3/19/2020,,3/23/2020,
Piemonte,4/9/2020,4/5/2020,4/13/2020,4/9/2020,4/7/2020,4/12/2020,4/9/2020,4/7/2020,4/12/2020,14561,498,11326,365,3235,133,3/22/2020,5/4/2020,3/11/2020,6/3/2020,3/5/2020,,3/7/2020,,3/7/2020,,3/11/2020,4/14/2020
Poland,4/17/2020,4/15/2020,4/22/2020,4/20/2020,4/17/2020,4/21/2020,4/19/2020,4/17/2020,4/20/2020,202488,9796,146722,6062,55766,3734,,,3/24/2020,4/20/2020,3/12/2020,5/24/2020,3/10/2020,,3/31/2020,,,
Portugal,4/10/2020,4/8/2020,4/13/2020,4/11/2020,4/9/2020,4/13/2020,4/11/2020,4/9/2020,4/13/2020,34951,548,24069,353,10882,195,4/9/2020,,3/19/2020,5/4/2020,3/16/2020,,3/19/2020,,3/16/2020,,3/19/2020,5/4/2020
Provincia autonoma di Bolzano,4/3/2020,3/29/2020,4/6/2020,4/3/2020,4/2/2020,4/5/2020,4/3/2020,4/2/2020,4/4/2020,1654,65,1287,48,367,17,3/22/2020,5/4/2020,3/11/2020,6/3/2020,3/5/2020,,3/11/2020,,3/11/2020,,3/11/2020,4/14/2020
Provincia autonoma di Trento,3/29/2020,3/28/2020,3/31/2020,3/30/2020,3/30/2020,4/2/2020,3/30/2020,3/29/2020,3/31/2020,1746,66,1358,48,388,18,3/22/2020,5/4/2020,3/11/2020,6/3/2020,3/5/2020,,3/11/2020,,3/11/2020,,3/11/2020,4/14/2020
Puebla,8/27/2020,8/26/2020,8/27/2020,8/27/2020,8/27/2020,8/27/2020,8/27/2020,8/27/2020,8/27/2020,5463,264,3116,196,2347,68,,,,,3/22/2020,,3/23/2020,,3/29/2020,,3/30/2020,
Puerto Rico,4/20/2020,4/7/2020,4/25/2020,4/24/2020,4/13/2020,4/25/2020,4/21/2020,4/13/2020,4/25/2020,7271,299,5232,222,2039,77,,,3/16/2020,,3/16/2020,,3/12/2020,,3/16/2020,,3/16/2020,5/4/2020
Puglia,4/7/2020,4/4/2020,4/8/2020,4/7/2020,4/6/2020,4/8/2020,4/6/2020,4/6/2020,4/8/2020,14596,408,11340,295,3256,113,3/22/2020,5/4/2020,3/11/2020,6/3/2020,3/5/2020,,3/11/2020,,3/11/2020,,3/11/2020,4/14/2020
Quebec,5/1/2020,4/30/2020,5/9/2020,5/8/2020,4/30/2020,5/9/2020,5/7/2020,4/30/2020,5/9/2020,,,,,,,,,3/21/2020,,3/16/2020,,3/12/2020,,3/15/2020,,3/23/2020,5/11/2020
Queretaro,8/27/2020,8/25/2020,8/27/2020,8/27/2020,8/26/2020,8/27/2020,8/27/2020,8/26/2020,8/27/2020,1595,172,1158,146,437,26,,,,,3/15/2020,,3/13/2020,,3/23/2020,,3/30/2020,
Quintana Roo,6/11/2020,5/9/2020,8/27/2020,6/13/2020,5/11/2020,8/27/2020,6/13/2020,5/10/2020,8/27/2020,1281,99,991,86,290,13,,,,,3/22/2020,,3/24/2020,,3/23/2020,,3/30/2020,
Republic of Korea,4/1/2020,3/12/2020,4/1/2020,3/26/2020,3/17/2020,4/1/2020,3/26/2020,3/17/2020,4/1/2020,492776,10028,339533,6729,153243,3299,,,,,3/2/2020,6/8/2020,,,3/22/2020,,,
Republic of Moldova,8/27/2020,5/27/2020,8/27/2020,8/27/2020,5/26/2020,8/27/2020,8/27/2020,5/26/2020,8/27/2020,17789,311,14474,212,3315,99,,,3/25/2020,,3/11/2020,,3/10/2020,,3/13/2020,,3/16/2020,
Rhineland-Palatinate,4/18/2020,4/17/2020,4/20/2020,4/18/2020,4/18/2020,4/19/2020,4/18/2020,4/18/2020,4/19/2020,,,,,,,,,3/22/2020,5/13/2020,3/16/2020,,3/22/2020,,3/23/2020,,3/23/2020,4/20/2020
Rhode Island,12/27/2020,5/20/2020,12/27/2020,12/27/2020,5/23/2020,12/27/2020,12/27/2020,5/23/2020,12/27/2020,2757,153,1962,111,795,42,,,3/28/2020,5/9/2020,3/16/2020,,3/17/2020,,3/17/2020,,,
Rio Grande do Norte,6/12/2020,5/30/2020,8/27/2020,6/14/2020,5/31/2020,8/27/2020,6/14/2020,5/31/2020,8/27/2020,6523,419,5110,357,1413,62,,,,,3/24/2020,,4/1/2020,,4/1/2020,,4/1/2020,
Rio Grande do Sul,8/27/2020,8/13/2020,8/27/2020,8/27/2020,8/14/2020,8/27/2020,8/27/2020,8/13/2020,8/27/2020,27443,1624,21561,1409,5882,215,,,,,4/1/2020,,3/19/2020,,3/19/2020,,4/1/2020,4/8/2020
Rio de Janeiro,8/27/2020,8/10/2020,8/27/2020,8/27/2020,8/11/2020,8/27/2020,8/27/2020,8/11/2020,8/27/2020,33912,3958,26655,3444,7257,514,,,3/30/2020,5/15/2020,3/13/2020,,3/13/2020,,3/16/2020,,,
Romania,5/1/2020,4/27/2020,5/3/2020,5/1/2020,4/29/2020,5/3/2020,5/1/2020,4/28/2020,5/2/2020,129383,4801,96989,3023,32394,1778,,,3/23/2020,5/15/2020,3/11/2020,,3/6/2020,,3/21/2020,,3/21/2020,5/15/2020
Rondonia,7/19/2020,7/1/2020,8/4/2020,7/20/2020,7/3/2020,8/4/2020,7/20/2020,7/2/2020,8/3/2020,3740,202,2932,173,808,29,,,,,3/17/2020,,3/20/2020,,3/20/2020,,3/20/2020,
Roraima,7/9/2020,6/13/2020,8/11/2020,7/11/2020,6/16/2020,8/13/2020,7/10/2020,6/15/2020,8/13/2020,1007,25,789,21,218,4,,,,,3/17/2020,,3/16/2020,,3/22/2020,,3/27/2020,
Russian Federation,8/27/2020,6/8/2020,8/27/2020,8/27/2020,6/9/2020,8/27/2020,8/27/2020,6/9/2020,8/27/2020,1190241,21620,949952,14948,240289,6672,,,,,3/23/2020,,,,3/28/2020,,3/28/2020,5/12/2020
Saarland,4/14/2020,4/13/2020,4/17/2020,4/14/2020,4/14/2020,4/16/2020,4/14/2020,4/14/2020,4/15/2020,,,,,,,,,3/21/2020,5/18/2020,3/16/2020,,3/21/2020,,3/15/2020,,,
San Luis Potosi,8/22/2020,5/28/2020,8/27/2020,8/23/2020,5/29/2020,8/27/2020,8/23/2020,5/29/2020,8/27/2020,2390,125,1649,103,741,22,,,,,3/22/2020,,3/20/2020,,3/22/2020,,3/30/2020,
Santa Catarina,8/15/2020,8/3/2020,8/27/2020,8/17/2020,8/4/2020,8/27/2020,8/16/2020,8/4/2020,8/27/2020,14339,784,11268,681,3071,103,,,,,3/19/2020,,3/17/2020,,3/17/2020,,3/17/2020,4/13/2020
Sao Paulo,8/27/2020,6/19/2020,8/27/2020,8/27/2020,6/23/2020,8/27/2020,8/27/2020,6/20/2020,8/27/2020,83816,7961,65881,6927,17935,1034,,,,,3/23/2020,,3/14/2020,,3/24/2020,,3/24/2020,
Sardegna,8/27/2020,4/5/2020,8/27/2020,8/27/2020,4/4/2020,8/27/2020,8/27/2020,4/4/2020,8/27/2020,5755,168,4472,122,1283,46,3/22/2020,5/4/2020,3/11/2020,6/3/2020,3/5/2020,,3/11/2020,,3/11/2020,,3/11/2020,4/14/2020
Saxony,4/13/2020,4/12/2020,4/15/2020,4/13/2020,4/13/2020,4/15/2020,4/13/2020,4/12/2020,4/14/2020,,,,,,,,,3/23/2020,4/20/2020,3/23/2020,,3/23/2020,,3/23/2020,,3/23/2020,4/20/2020
Saxony-Anhalt,4/5/2020,4/5/2020,4/5/2020,4/5/2020,4/5/2020,4/5/2020,4/5/2020,4/5/2020,4/5/2020,,,,,,,,,3/22/2020,5/4/2020,3/16/2020,,3/22/2020,,3/24/2020,,3/24/2020,4/20/2020
Schleswig-Holstein,4/18/2020,4/12/2020,8/27/2020,4/18/2020,4/16/2020,8/27/2020,4/18/2020,4/15/2020,8/27/2020,,,,,,,,,3/24/2020,5/9/2020,3/16/2020,,3/24/2020,,3/14/2020,,3/24/2020,4/20/2020
Serbia,4/28/2020,4/24/2020,4/30/2020,4/28/2020,4/26/2020,4/29/2020,4/28/2020,4/26/2020,4/28/2020,39608,181,26998,103,12610,78,3/22/2020,5/4/2020,3/17/2020,5/7/2020,3/16/2020,,3/11/2020,,3/16/2020,,3/16/2020,
Sergipe,8/27/2020,6/2/2020,8/27/2020,8/27/2020,6/5/2020,8/27/2020,8/27/2020,6/3/2020,8/27/2020,2922,229,2289,195,633,34,,,,,3/16/2020,,3/16/2020,,3/20/2020,,3/24/2020,4/16/2020
Sicilia,8/27/2020,3/31/2020,8/27/2020,8/27/2020,4/3/2020,8/27/2020,8/27/2020,4/3/2020,8/27/2020,18139,506,14093,366,4046,140,3/22/2020,5/4/2020,3/11/2020,6/3/2020,3/5/2020,,3/11/2020,,3/11/2020,,3/11/2020,4/14/2020
Sinaloa,6/15/2020,6/8/2020,8/27/2020,6/17/2020,6/10/2020,8/27/2020,6/17/2020,6/10/2020,8/27/2020,2859,164,2037,138,822,26,,,,,3/19/2020,,3/20/2020,,3/23/2020,,3/30/2020,
Slovakia,4/26/2020,4/14/2020,4/29/2020,4/29/2020,4/22/2020,4/29/2020,4/29/2020,4/22/2020,4/29/2020,32229,578,22068,335,10161,243,4/8/2020,4/14/2020,,,3/12/2020,,3/12/2020,,3/16/2020,,3/16/2020,3/30/2020
