Continent,Country,Province,pop2016
Asia,Afghanistan,None,34656032
Europe,Albania,None,2876101
Africa,Algeria,None,40606052
Oceania,American Samoa,None,55599
Europe,Andorra,None,77281
Africa,Angola,None,28813463
North America,Antigua and Barbuda,None,100963
South America,Argentina,None,43847430
Asia,Armenia,None,2924816
South America,Aruba,None,104822
Oceania,Australia,Australian Capital Territory,426709
Oceania,Australia,New South Wales,8089526
Oceania,Australia,None,24127159
Oceania,Australia,Northern Territory,245869
Oceania,Australia,Queensland,5095100
Oceania,Australia,South Australia,1751693
Oceania,Australia,Tasmania,534281
Oceania,Australia,Victoria,6594804
Oceania,Australia,Western Australia,2621680
Europe,Austria,None,8747358
Asia,Azerbaijan,None,9762274
North America,"Bahamas, The",None,391232
Asia,Bahrain,None,1425171
Asia,Bangladesh,None,162951560
North America,Barbados,None,284996
Europe,Belarus,None,9507120
Europe,Belgium,None,11348159
North America,Belize,None,366954
Africa,Benin,None,10872298
North America,Bermuda,None,65331
Asia,Bhutan,None,797765
South America,Bolivia,None,10887882
Europe,Bosnia and Herzegovina,None,3516816
Africa,Botswana,None,2250260
South America,Brazil,Acre,881935
South America,Brazil,Alagoas,3337357
South America,Brazil,Amapa,845731
South America,Brazil,Amazonas,4144597
South America,Brazil,Bahia,14873064
South America,Brazil,Ceara,9132078
South America,Brazil,Distrito Federal,3015268
South America,Brazil,Espirito Santo,4018650
South America,Brazil,Goias,7018354
South America,Brazil,Maranhao,7075181
South America,Brazil,MatoGrosso,3484466
South America,Brazil,MatoGrosso do Sul,2778986
South America,Brazil,Minas Gerais,21168791
South America,Brazil,None,207652865
South America,Brazil,Para,8602865
South America,Brazil,Paraiba,4018127
South America,Brazil,Parana,11433957
South America,Brazil,Pernambuco,9557071
South America,Brazil,Piaui,3273227
South America,Brazil,Rio Grande do Norte,3506853
South America,Brazil,Rio Grande do Sul,11377239
South America,Brazil,Rio de Janeiro,17264943
South America,Brazil,Rondonia,1777225
South America,Brazil,Roraima,605761
South America,Brazil,Santa Catarina,7164788
South America,Brazil,Sao Paulo,45919049
South America,Brazil,Sergipe,2298696
South America,Brazil,Tocantins,1572866
South America,Brazil,Espiritu Santo,4018650
South America,Brazil,Mato Grosso,3484466
South America,Brazil,Mato Grosso do Sul,2778986
North America,British Virgin Islands,None,30661
Asia,Brunei Darussalam,None,423196
Europe,Bulgaria,None,7127822
Africa,Burkina Faso,None,18646433
Africa,Burundi,None,10524117
Africa,Cabo Verde,None,539560
