Continent,Country,Province,policy_1,time_1,policy_2,time_2,policy_3,time_3
Africa,South Africa,Eastern Cape,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Africa,South Africa,Free State,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Africa,South Africa,Gauteng,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Africa,South Africa,KwaZulu Natal,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Africa,South Africa,Limpopo,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Africa,South Africa,Mpumalanga,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Africa,South Africa,None,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Africa,South Africa,North West,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Africa,South Africa,Northern Cape,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Africa,South Africa,Western Cape,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Altai Republic,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Altayskiy Kray,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Amursk Oblast,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Arkhangelsk Oblast,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Astrahan Oblast,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Belgorod Oblast,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Briansk Oblast,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Chechen Republic,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Cheliabinsk Oblast,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Chukotskiy Autonomous Oblast,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Habarovskiy Kray,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Hanty-Mansiyskiy AO,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Ingushetia Republic,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Irkutsk Oblast,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Ivanovo Oblast,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Jewish Autonomous Oblast,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Kaliningrad Oblast,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Kaluga Oblast,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Kamchatskiy Kray,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Kemerovo Oblast,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Kirov Oblast,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Komi Republic,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Kostroma Oblast,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Krasnodarskiy Kray,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Krasnoyarskiy Kray,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Kurgan Oblast,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Kursk Oblast,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Leningradskaya Oblast,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Lipetsk Oblast,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Magadan Oblast,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Moscow,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Moscow Oblast,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Murmansk Oblast,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Nenetskiy Autonomous Oblast,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Nizhegorodskaya Oblast,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
Asia,Russia,Novgorod Oblast,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0,Lockdown,28,Restrict_Mass_Gatherings_and_Schools,42
